"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16"
"1","time","uniform","2","25","1","Dionysus","0.0232912000501528","0.0230296140071005","0.0229165779892355","0.0228926029521972","0.0229812460020185","0.0229416120564565","0.0229872900526971","0.0229545059846714","0.0229398719966412","0.0229295550379902"
"2","time","uniform","3","25","1","Dionysus","0.0220445239683613","0.021747466060333","0.0216461510863155","0.0216061670798808","0.0217289561405778","0.021680703968741","0.0216536810621619","0.0216426569968462","0.0217419660184532","0.0220753710018471"
"3","time","uniform","4","25","1","Dionysus","0.0241063730791211","0.0237364560598508","0.023671533097513","0.0236875030677766","0.0236990060657263","0.0236973110586405","0.0237247400218621","0.0237058961065486","0.0237164270365611","0.023726218030788"
"4","time","uniform","5","25","1","Dionysus","0.0240281049627811","0.02372476097662","0.0236674139741808","0.0237125768326223","0.023727940977551","0.0237662518629804","0.0237065829569474","0.0237907679984346","0.0237663749139756","0.0237830259138718"
"5","time","uniform","2","50","1","Dionysus","0.211616478045471","0.189650070038624","0.0906355059705675","0.0907516140723601","0.0909019119571894","0.0905726189957932","0.0904624769464135","0.0907796219689772","0.0906339481007308","0.0911091020097956"
"6","time","uniform","3","50","1","Dionysus","0.115829270915128","0.115093693952076","0.114889167947695","0.113704712013714","0.113563842955045","0.113630319014192","0.114559506997466","0.114669675007463","0.11511920101475","0.115332528948784"
"7","time","uniform","4","50","1","Dionysus","0.128439789172262","0.12638522812631","0.125921189086512","0.124944010050967","0.12496014602948","0.124837936018594","0.125180881121196","0.125074807088822","0.125168261001818","0.127713408088312"
"8","time","uniform","5","50","1","Dionysus","0.276599409990013","0.135091792908497","0.117592163034715","0.117233844939619","0.117519818013534","0.117717326036654","0.117340728989802","0.117640893906355","0.118166376021691","0.117620297940448"
"9","time","uniform","2","75","1","Dionysus","0.353613662999123","0.353211554000154","0.354576635989361","0.354144087992609","0.355362158967182","0.354909805115312","0.352490441058762","0.353868321049958","0.354955432936549","0.352083259029314"
"10","time","uniform","3","75","1","Dionysus","0.585597764933482","0.586543957004324","0.583379491930827","0.58222305693198","0.580530962906778","0.581497128936462","0.58752881991677","0.590209170943126","0.585753984982148","0.59317581995856"
"11","time","uniform","4","75","1","Dionysus","0.397087120916694","0.399617417016998","0.396646120003425","0.398430237080902","0.399337392067537","0.398100173100829","0.399827426997945","0.397393355029635","0.397919108974747","0.403809509123676"
"12","time","uniform","5","75","1","Dionysus","0.479590427014045","0.482642262941226","0.480043533956632","0.479029460111633","0.478244769969024","0.478928639087826","0.482335289008915","0.487585772993043","0.487673128955066","0.484785025939345"
"13","time","uniform","2","100","1","Dionysus","0.99983999307733","1.01387612195686","1.00753374304622","1.00078197999392","1.01191009802278","1.00530306296423","1.0028460919857","1.01058885606471","1.00362051906995","1.02574050310068"
"14","time","uniform","3","100","1","Dionysus","1.46136396401562","1.43815310904756","1.45322871801909","1.437327541993","1.44394001108594","1.45342094509397","1.47108769603074","1.45252614107449","1.44923530600499","1.44232377794106"
"15","time","uniform","4","100","1","Dionysus","1.17436593607999","1.17526950209867","1.15924812701996","1.17429327801801","1.1704912771238","1.18670832191128","1.17148842499591","1.16183942998759","1.17078576504719","1.17272454092745"
"16","time","uniform","5","100","1","Dionysus","1.5602103350684","1.54015102703124","1.55327110399958","1.56105795304757","1.54214397200849","1.54103110090364","1.56259350199252","1.57195608003531","1.53389071603306","1.5555891119875"
"17","time","uniform","2","125","1","Dionysus","2.66754287004005","2.72620968602132","2.66536142898258","2.66851911600679","2.67387544806115","2.67392325703986","2.69506691093557","2.75171202293132","2.69167802401353","2.67083004605956"
"18","time","uniform","3","125","1","Dionysus","3.17945888603572","3.14932058099657","3.15804515208583","3.18961982405744","3.18254793796223","3.16626773995813","3.22424930194393","3.16572688403539","3.16034872503951","3.15886852005497"
"19","time","uniform","4","125","1","Dionysus","3.22377670800779","3.20816822804045","3.21385213092435","3.25223382306285","3.27782946208026","3.25312420108821","3.2611255350057","3.2635544880759","3.3112098419806","3.32140295999125"
"20","time","uniform","5","125","1","Dionysus","6.0253536949167","5.98751445696689","6.04063004197087","5.98650788888335","6.04489635594655","5.9827244799817","5.97841100103687","5.99547424097545","5.99701527797151","5.98712345992681"
"21","time","uniform","2","150","1","Dionysus","7.92312171298545","7.83173194399569","7.84722001804039","7.89104901801329","7.87457005004399","7.9009905050043","7.80776025401428","7.82527079607826","7.8230553290341","7.83497056609485"
"22","time","uniform","3","150","1","Dionysus","9.25254528305959","9.26818923896644","9.33149722206872","9.37389095406979","9.40206747001503","9.36327978107147","9.39290085993707","9.3473133710213","9.41680329991505","9.53661711595487"
"23","time","uniform","4","150","1","Dionysus","8.15832316502929","8.16594059008639","8.06821613095235","8.02344768401235","8.01952028903179","8.07791601400822","8.06143807305489","8.07718488597311","8.16030607197899","8.03452718409244"
"24","time","uniform","5","150","1","Dionysus","5.95149529306218","6.56623082899023","5.94744541903492","5.97092054504901","5.94559611205477","6.02718765905593","6.29594799608458","5.97948757291306","6.00305229402147","5.975002976018"
"25","time","uniform","2","175","1","Dionysus","14.3142883050023","14.1415098180296","13.9699945989996","14.1578092130367","14.1611563899787","14.2565005630022","14.0757216069615","14.0772792410571","14.1908188490197","14.2027829180006"
"26","time","uniform","3","175","1","Dionysus","10.7454894869588","10.7351852500578","10.5803165050456","10.7856688629836","10.7803911500378","10.8295154710067","10.6819034910295","10.6988034319365","10.7316468450008","10.7115474240854"
"27","time","uniform","4","175","1","Dionysus","13.3806665269658","13.0314501798712","12.9172137998976","12.8484441578621","13.2876132118981","12.8988342710072","12.8944878650364","12.8492979499279","12.6685051729437","12.7674245960079"
"28","time","uniform","5","175","1","Dionysus","16.6802550299326","15.9766829698347","15.627629725961","15.9344554919517","15.6787516679615","15.6220963269006","15.7192503400147","15.5701672999421","16.1383667768678","15.7318434088957"
"29","time","uniform","2","200","1","Dionysus","25.9153224149486","26.0110984829953","25.9428925380344","25.6493770729285","25.583524239948","25.7463382571004","25.4452174740145","25.3910804400221","25.3257291720947","25.592301725992"
"30","time","uniform","3","200","1","Dionysus","21.6472749339882","21.6952702740673","21.6821779360762","21.3386310280766","21.6808469319949","21.725621495978","21.7237598520005","21.627982503036","21.6126316121081","21.3917825630633"
"31","time","uniform","4","200","1","Dionysus","28.8529144659406","29.0572801609524","29.2504468519473","28.7109389109537","28.9488607739331","28.5680679329671","28.6321454170393","28.7506275719497","28.7928695558803","28.9648751439527"
"32","time","uniform","5","200","1","Dionysus","26.9914153640857","26.4196931759361","25.9015224409522","26.2952608879423","25.8589785699733","25.7697220109403","25.9193652530666","26.410854634014","26.925724569126","26.2422538519604"
"33","time","uniform","2","225","1","Dionysus","22.5183078519767","21.6761016559321","22.0333378469804","21.7657181039685","22.2463843729347","22.1225369389867","22.1802697589155","21.9005087509286","22.0448755469406","21.9149645669386"
"34","time","uniform","3","225","1","Dionysus","47.4184892390622","48.4390836519888","47.1635281519266","47.5754944040673","47.5468650349649","47.652207312989","47.9650817390066","47.6644546339521","47.949437784031","47.7233603909845"
"35","time","uniform","4","225","1","Dionysus","37.2081901249476","36.9423296479508","37.2325515820412","37.0420702559641","37.5978061960777","37.4725709750783","37.0011514479993","37.309051254997","37.1001619159942","37.0553717389703"
"36","time","uniform","5","225","1","Dionysus","60.0521579718916","60.0570989620173","60.4516945560463","59.5627624250483","59.3366869329475","59.4386605890468","59.6845506140962","59.4095496759983","60.5512362470618","59.5033646420343"
"37","time","uniform","2","250","1","Dionysus","41.8214342250722","41.9396683300147","41.7165930699557","41.5294190540444","41.7210662029684","41.7837208590936","42.0646769800223","41.8868395070313","41.8070477030706","42.17364081298"
